index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
436,천비향오양주탁주,2.0,2.0,1.0,3,14,0.0,탁주,바디감     탁주 쌀  선물,500ml,18000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_432
437,천비향화주,,,,2,40,0.0,증류주,향기     목넘김    증류주 쌀  선물,375ml,50000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_433
438,천안연미주,2.0,3.0,4.0,2,13,0.0,약주/청주,신맛 청량감      약주/청주 삼 약재,360ml,5000,농업회사법인입장주조㈜,"백미,한약재홍삼외가지",,,,legacy_434
439,천지주가햅쌀생막걸리,3.0,2.0,2.0,5,6,0.0,탁주,단맛   바디감     탁주 쌀,750ml,1400,(유)산에들에농업회사법인,"쌀,정제수,국,효모등",,,,legacy_435
440,청남대블루베리생막걸리,3.0,2.0,3.0,2,6,1.0,탁주,단맛  청량감   담백  탄산 탁주 쌀 베리,750ml,3000,농업회사법인명세주가(주),"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수",,,,legacy_436
441,청명주,4.0,4.0,2.0,4,17,0.0,약주/청주,단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀  선물,500ml,23000,중원당,"국내산찹쌀,누룩,소맥분",,,,legacy_437
442,청산녹수꿀막걸리,1.0,2.0,3.0,4,8,0.0,탁주,청량감 바디감     탁주 쌀 사과 꿀,750ml,1500,농업회사법인(주)청산녹수,"쌀,벌꿀,사과농축액,효모,정제효소",,,,legacy_438
443,청산녹수사미인주,2.0,2.0,4.0,3,8,0.0,탁주,청량감 바디감     탁주 쌀 꿀  무감미료,750ml,4000,농업회사법인(주)청산녹수,"유기농햅쌀,벌꿀,입국,누룩,효모,정제수",,,,legacy_439
444,청산녹수생탁주,1.0,3.0,3.0,3,6,0.0,탁주,신맛 청량감 바디감     탁주 쌀 사과,750ml,1000,농업회사법인(주)청산녹수,"쌀,사과농축액,효모,정제효소",,,,legacy_440
445,청세주,3.0,1.0,1.0,4,18,0.0,약주/청주,단맛   바디감     약주/청주 쌀,375ml,4000,병영주조장,쌀,,,,legacy_441
446,청송얼음골동동주,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,"1,200ml",1800,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",,,,legacy_442
447,청송주왕사과막걸리,2.0,3.0,4.0,2,6,0.0,탁주,신맛 청량감      탁주 쌀 사과 밀,750ml,1500,청송양조장,"쌀,밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",,,,legacy_443
448,청양둔송구기주,3.0,1.0,1.0,2,16,0.0,약주/청주,단맛        약주/청주 쌀 구기자 감초  선물,700ml,11500,청양둔송구기주,"쌀,누룩,구기자,감초,두충껍질",,,,legacy_444
449,청진주,2.0,2.0,1.0,1,16,0.0,약주/청주,약주/청주 쌀 찹쌀  선물,375ml,30000,전통주연구개발원,"찹쌀,누룩,정제수",,,,legacy_445
450,청춘,2.0,2.0,1.0,3,15,0.0,약주/청주,바디감     약주/청주 쌀,750ml,20000,농업회사법인신탄진주조(주),"쌀,누룩,정제수",,,,legacy_446
451,초선의꿈로제,1.0,3.0,,2,12,0.0,과실주,신맛   목넘김  탄닌감  과실주 포도  기념일,375ml,20000,여포와인농장,국내산포도,,,,legacy_447
452,추사40,,,,3,40,0.0,증류주,향기    바디감     증류주 사과  과일류,500ml,60000,예산사과와인(주),사과,,,,legacy_448
453,추사로제,2.0,3.0,2.0,1,12,0.0,과실주,신맛       과실주 사과,375ml,20000,예산사과와인(주),사과,,,,legacy_449
454,추사백25,3.0,,,2,25,0.0,증류주,향기 단맛        증류주  과일류,350ml,12000,예산사과와인,"증류원액,정제수",,,,legacy_450
455,추사블루,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 베리  이색전통주,375ml,20000,예산사과와인(주),블루베리,,,,legacy_451
456,추사애플와인,3.0,1.0,2.0,3,12,0.0,과실주,단맛   바디감     과실주 사과  선물,375ml,20000,예산사과와인(주),사과,,,,legacy_452
457,추성주,2.0,0.0,3.0,2,25,0.0,증류주,청량감      증류주 쌀 오미자 구기자  선물,700ml,80000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",,,,legacy_453
458,추시와인,3.0,2.0,2.0,3,12.5,0.0,기타주류,단맛   바디감     기타주류,750ml,16000,양촌감영농조합법인,감,,,,legacy_454
459,충주백주,,,,3,35,0.0,증류주,향기    바디감     증류주 쌀,375ml,7800,고헌정영농조합법인,"쌀증류원액,당귀,아스파탐,아세설팜K,구연산,정제수",,,,legacy_455
460,컨츄리산머루와인드라이,1.0,3.0,,3,14,0.0,과실주,신맛  바디감 목넘김    과실주 머루,750ml,20000,컨츄리농원,국산산머루원액,,,,legacy_456
461,컨츄리산머루와인스위트,2.0,3.0,,2,12,0.0,과실주,신맛       과실주 머루,750ml,20000,컨츄리농원,국산산머루원액,,,,legacy_457
462,컨츄리와인캠벨얼리스위트,3.0,1.0,,3,12,0.0,과실주,단맛   바디감 목넘김    과실주 포도,750ml,15000,컨츄리농원,국산포도원액,,,,legacy_458
463,코이버펑크머스캣베일리에이,3.0,3.0,3.0,4,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도,,,,legacy_459
464,코이버펑크샤르도네세미용블랜드,2.0,4.0,4.0,3,11,0.0,과실주,신맛 청량감 바디감     과실주 포도  베리류,750ml,65000,코이버펑크,와이너리재배포도,,,,legacy_460
465,코이버펑크카베르네소비뇽,1.0,2.0,2.0,3,12,0.0,과실주,바디감     과실주  베리류,750ml,65000,"고성찬,이금자,정재학",코이버펑크,,,,legacy_461
466,쿨샷7.5,3.0,1.0,2.0,2,7.5,0.0,과실주,단맛        과실주 복분자  저도수,300ml,3000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",,,,legacy_462
467,크라테레드와인드라이,2.0,2.0,3.0,3,11.5,0.0,과실주,청량감 바디감     과실주 머루,750ml,48000,수도산와이너리,산머루,,,,legacy_463
468,크라테레드와인스위트,4.0,2.0,3.0,1,11.5,0.0,과실주,단맛  청량감      과실주 머루,750ml,48000,수도산와이너리,산머루,,,,legacy_464
469,크라테로제와인,4.0,1.0,3.0,3,11.5,0.0,과실주,단맛  청량감 바디감   탄닌감  과실주 머루,375ml,18000,수도산와이너리,산머루,,,,legacy_465
470,타미앙스,1.0,1.0,2.0,4,40,0.0,증류주,바디감     증류주 쌀 오미자 구기자  선물,500ml,50000,추성고을,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",,,,legacy_466
471,톡쏘는알밤동동,4.0,1.0,3.0,3,6,0.0,기타주류,단맛  청량감 바디감     기타주류 쌀 밤,350ml,1300,가평우리술,"쌀,정제수,입국,밤농축액,밤추출물등",,,,legacy_467
472,톡한잔골드,3.0,,,4,43,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 보리,500ml,49000,농업회사법인(유)대마주조,"찰보리,쌀,민들레분말,볶음보리",,,,legacy_468
473,톡한잔소주,2.0,,,3,30,0.0,증류주,바디감     증류주 쌀 보리,500ml,10000,농업회사법인(유)대마주조,"찰보리,쌀",,,,legacy_469
474,티나Tina,,,,5,16,0.0,기타주류,향기    바디감 목넘김    기타주류  이색전통주,750ml,54000,추성고을,"딸기추출물,죽력,정제수,주정,액상과당,구연산,딸기향,망고향",,,,legacy_470
475,펀치쌀바나나,3.0,1.0,2.0,4,4,1.0,기타주류,단맛   바디감    탄산 기타주류 쌀,750ml,2000,내변산(동진주조),"쌀,바나나농축액,효모,종곡,정제수,합성착향료,합성감미료",,,,legacy_471
476,편백숲산소막걸리,3.0,3.0,3.0,3,5.2,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 사과  저도수,750ml,1900,농업회사법인(주)청산녹수,"멥쌀,올리고당,사과농축액,누룩,아스파탐",,,,legacy_472
477,편백숲산소막걸리딸기스파클링,3.0,2.0,5.0,3,6.8,1.0,탁주,단맛  청량감 바디감    탄산 탁주 쌀 찹쌀  이색전통주,940ml,41000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩,딸기,올리고당",,,,legacy_473
478,편백숲산소막걸리순수령,3.0,1.0,1.0,4,5.8,0.0,탁주,단맛   바디감     탁주 쌀 찹쌀  홈술,750ml,4000,농업회사법인(주)청산녹수,"멥쌀,찹쌀,누룩",,,,legacy_474
479,평창머루주,1.0,3.0,1.0,4,16,0.0,과실주,신맛  바디감     과실주 머루,360ml,6500,농업회사법인(주)홍지원,국내산산머루,,,,legacy_475
480,평창오디주,1.0,3.0,1.0,3,16,0.0,과실주,신맛  바디감     과실주 오디,360ml,6500,농업회사법인(주)홍지원,국내산오디,,,,legacy_476
481,포엠레드드라이와인,2.0,3.0,2.0,4,12,0.0,과실주,신맛  바디감     과실주 포도 머루,750ml,25000,갈기산포도농원(주)농업회사법인,"포도,머루",,,,legacy_477
482,포엠레드스위트와인,4.0,3.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도,750ml,25000,갈기산포도농원(주)농업회사법인,포도,,,,legacy_478
483,포엠로제와인,4.0,3.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 포도,750ml,35000,갈기산포도농원(주)농업회사법인,포도,,,,legacy_479
